case,C2_over_C1,R2_over_R1,waveform,Ti_s,pause_fraction,dt_s,PI,EII,MPtotal_Jmin,flow_residual_max_Ls,paw_consistency_max_cmH2O
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.2,0.000125,0.20326145391331868,0.5934770921733626,11.612466882053747,8.881784197001252e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.0,0.004,0.17932483179339775,0.6413503364132046,8.19354302474233,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.0,0.002,0.17963424478412723,0.6407315104317457,8.236404524306902,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.0,0.001,0.17978785285908738,0.6404242942818252,8.2578846160419,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.0,0.0005,0.17986438474402286,0.6402712305119542,8.26863700591142,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.0,0.00025,0.17990258295134878,0.6401948340973024,8.274016287910973,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.0,0.000125,0.17992166515888006,0.6401566696822399,8.276706700809981,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.2,0.004,0.17394606110112354,0.652107877797753,8.961090668050316,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.2,0.002,0.17431655866663928,0.6513668826667215,9.017777440002364,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.2,0.001,0.17450036722337192,0.6509992655532562,9.046199892201185,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.2,0.0005,0.17459191502864682,0.6508161699427062,9.060430901465901,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.2,0.00025,0.17463760025537894,0.6507247994892422,9.067551353966133,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.0,0.2,0.000125,0.17466042075472066,0.6506791584905586,9.071112817442822,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.0,0.004,0.17411174884060873,0.6517765023187826,7.137566906387532,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.0,0.002,0.174303362597118,0.6513932748057639,7.163910080682977,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.0,0.001,0.17439867701024947,0.651202645979501,7.177102826832934,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.0,0.0005,0.17444621209866004,0.65110757580268,7.183704492197051,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.0,0.00025,0.1744699492365766,0.6510601015268467,7.187006648268712,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.0,0.000125,0.17448181021927822,0.6510363795614434,7.188658057191609,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.2,0.004,0.16799256586500674,0.6640148682699863,7.670445343220926,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.2,0.002,0.168221719160734,0.6635565616785319,7.704772636391804,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.2,0.001,0.16833566292805643,0.6633286741438873,7.721969949780876,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.2,0.0005,0.16839247797854315,0.6632150440429138,7.7305770281210915,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.2,0.00025,0.16842084646667788,0.6631583070666444,7.7348826733207146,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,1.5,0.2,0.000125,0.16843502097272836,0.6631299580545431,7.737036022505155,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.0,0.004,0.21267890538004508,0.57464218923991,10.0258954294652,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.0,0.002,0.21320893569291846,0.573582128614163,10.045283308974573,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.0,0.001,0.21347255625266662,0.5730548874946667,10.055043267164194,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.0,0.0005,0.21360402197566267,0.5727919560486748,10.059939876584119,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.0,0.00025,0.21366966920321998,0.57266066159356,10.062392354687182,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.0,0.000125,0.2137024714712855,0.5725950570574291,10.063619639069623,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.2,0.004,0.19638914320800488,0.6072217135839902,11.193833237766187,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.2,0.002,0.19711567960681728,0.6057686407863654,11.218323968666251,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.2,0.001,0.19747732394312978,0.6050453521137406,11.230691582940535,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.2,0.0005,0.1976577476360579,0.6046845047278843,11.23690621758675,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.2,0.00025,0.1977478607833664,0.6045042784332673,11.240021275205532,8.881784197001252e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,0.6,0.2,0.000125,0.19779289279616497,0.60441421440767,11.24158074328232,8.881784197001252e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.0,0.004,0.18365909295545157,0.6326818140890969,8.070761047740614,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.0,0.002,0.1840180867026936,0.6319638265946128,8.08240728557558,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.0,0.001,0.1841969614658132,0.6316060770683737,8.088246030856077,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.0,0.0005,0.18428624419414827,0.6314275116117034,8.091169335081762,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.0,0.00025,0.18433084700364716,0.6313383059927058,8.092631973224831,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.0,0.000125,0.1843531387832677,0.6312937224334645,8.093363539196247,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.2,0.004,0.1658109657671305,0.668378068465739,8.818310895867876,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.2,0.002,0.16626202787791067,0.6674759442441787,8.832810969164463,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.2,0.001,0.16648700642922226,0.6670259871415556,8.840090557245121,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.2,0.0005,0.16659935870103945,0.6668012825979212,8.843737788800333,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.2,0.00025,0.1666555007249854,0.6666889985500293,8.845563270191011,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.0,0.2,0.000125,0.16668356322626324,0.6666328735474735,8.846476478070638,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.0,0.004,0.17617211712274128,0.6476557657545176,7.043916657535137,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.0,0.002,0.17637847243640153,0.6472430551271969,7.051778314981034,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.0,0.001,0.17648145057803896,0.647037098843922,7.055713904061749,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.0,0.0005,0.17653288990649277,0.6469342201870144,7.05768289618518,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.0,0.00025,0.1765585971521105,0.646882805695779,7.058667692580622,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.0,0.000125,0.1765714476723848,0.6468571046552304,7.059160165979107,3.3306690738754696e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.2,0.004,0.16105879362500047,0.6778824127499989,7.56173330693413,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.2,0.002,0.16128894863514034,0.6774221027297193,7.571490221455974,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.2,0.001,0.16140399372174102,0.6771920125565178,7.576377874657442,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.2,0.0005,0.16146150805979564,0.6770769838804086,7.578824014733414,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.2,0.00025,0.16149026316509799,0.6770194736698042,7.580047664955347,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,sinusoidal,1.5,0.2,0.000125,0.16150464020027583,0.6769907195994483,7.580659635339427,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.0,0.004,0.24068130166604634,0.5186373966679073,9.01404079577996,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.0,0.002,0.2407327013621208,0.5185345972757583,9.054014253224029,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.0,0.001,0.24075768773167955,0.5184846245366409,9.074042038181547,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.0,0.0005,0.24077000477518695,0.5184599904496261,9.084066193938794,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.0,0.00025,0.24077611953687067,0.5184477609262588,9.089080837540429,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.0,0.000125,0.240779166011897,0.518441667976206,9.091588800759974,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.2,0.004,0.20408423923696725,0.5918315215260654,9.946126380112332,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.2,0.002,0.20440326524495323,0.5911934695100934,10.008122740798575,4.440892098500626e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.2,0.001,0.20456183101157108,0.5908763379768579,10.039283133646906,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,square,0.6,0.2,0.0005,0.2046408770231048,0.5907182459537904,10.054904087001129,6.661338147750939e-16,3.552713678800501e-15
